"count_id","line","species_id","site_code","liana","count"
83324,9,209,"BANYONG","",1.0
83325,4,270,"BANYONG","",1.0
83326,5,270,"BANYONG","",1.0
83327,7,270,"BANYONG","",1.0
83328,8,270,"BANYONG","",1.0
83329,7,319,"BANYONG","L",1.0
83330,1,374,"BANYONG","",2.0
83331,5,374,"BANYONG","",2.0
83332,6,374,"BANYONG","",1.0
83333,7,374,"BANYONG","",2.0
83334,2,442,"BANYONG","",1.0
83335,4,442,"BANYONG","",1.0
83336,6,442,"BANYONG","",1.0
83337,3,443,"BANYONG","",1.0
83338,4,443,"BANYONG","",1.0
83339,2,454,"BANYONG","",1.0
83340,8,460,"BANYONG","",1.0
83341,8,565,"BANYONG","",1.0
83342,1,585,"BANYONG","L",2.0
83343,2,586,"BANYONG","L",2.0
83344,3,586,"BANYONG","L",1.0
83345,6,586,"BANYONG","L",2.0
83346,7,586,"BANYONG","L",1.0
83347,3,587,"BANYONG","L",1.0
83348,6,587,"BANYONG","L",2.0
83349,3,588,"BANYONG","L",1.0
83350,7,589,"BANYONG","L",1.0
83351,7,590,"BANYONG","L",1.0
83352,1,598,"BANYONG","L",1.0
83353,4,599,"BANYONG","L",3.0
83354,7,599,"BANYONG","L",1.0
83355,5,600,"BANYONG","L",1.0
83356,4,601,"BANYONG","L",1.0
83357,7,601,"BANYONG","L",1.0
83358,9,602,"BANYONG","L",1.0
83359,9,603,"BANYONG","L",2.0
83360,10,604,"BANYONG","L",1.0
83361,1,690,"BANYONG","",1.0
83362,3,690,"BANYONG","",1.0
83363,6,691,"BANYONG","",
83364,1,698,"BANYONG","",1.0
83365,2,698,"BANYONG","",2.0
83366,3,698,"BANYONG","",1.0
83367,5,974,"BANYONG","L",1.0
83368,10,1833,"BANYONG","",2.0
83369,4,1839,"BANYONG","",1.0
83370,8,1839,"BANYONG","",2.0
83371,6,1960,"BANYONG","",2.0
83372,1,2198,"BANYONG","",1.0
83373,2,2249,"BANYONG","L",2.0
83374,3,2249,"BANYONG","L",2.0
83375,3,2250,"BANYONG","L",1.0
83376,4,2251,"BANYONG","L",1.0
83377,4,2252,"BANYONG","L",1.0
83378,7,2253,"BANYONG","L",1.0
83379,8,2254,"BANYONG","L",1.0
83380,9,2304,"BANYONG","L",1.0
83381,5,2459,"BANYONG","",1.0
83382,5,2462,"BANYONG","",1.0
83383,2,2573,"BANYONG","",1.0
83384,6,2580,"BANYONG","",1.0
83385,2,2587,"BANYONG","",1.0
83386,5,2587,"BANYONG","",1.0
83387,7,2587,"BANYONG","",2.0
83388,5,2611,"BANYONG","",1.0
83389,8,2611,"BANYONG","",1.0
83390,6,2638,"BANYONG","",1.0
83391,9,2638,"BANYONG","",1.0
83392,7,2710,"BANYONG","",1.0
83393,2,2764,"BANYONG","L",1.0
83394,7,2765,"BANYONG","L",1.0
83395,8,2766,"BANYONG","L",1.0
83396,1,3021,"BANYONG","L",2.0
83397,1,3022,"BANYONG","L",1.0
83398,3,3023,"BANYONG","L",1.0
83399,5,3024,"BANYONG","L",2.0
83400,3,3028,"BANYONG","L",3.0
83401,9,3044,"BANYONG","",1.0
83402,3,3049,"BANYONG","",1.0
83403,4,3049,"BANYONG","",1.0
83404,5,3049,"BANYONG","",2.0
83405,6,3049,"BANYONG","",1.0
83406,9,3160,"BANYONG","",1.0
83407,10,3160,"BANYONG","",1.0
83408,3,3172,"BANYONG","",1.0
83409,1,3185,"BANYONG","",1.0
83410,1,3189,"BANYONG","",1.0
83411,1,3212,"BANYONG","",2.0
83412,4,3423,"BANYONG","",1.0
83413,5,3423,"BANYONG","",1.0
83414,1,3555,"BANYONG","",1.0
83415,2,3555,"BANYONG","",1.0
83416,3,3555,"BANYONG","",1.0
83417,9,3555,"BANYONG","",2.0
83418,4,3574,"BANYONG","",1.0
83419,1,3583,"BANYONG","",1.0
83420,2,3583,"BANYONG","",3.0
83421,3,3583,"BANYONG","",2.0
83422,1,3584,"BANYONG","",1.0
83423,2,3584,"BANYONG","",2.0
83424,4,3584,"BANYONG","",2.0
83425,5,3585,"BANYONG","",1.0
83426,9,3586,"BANYONG","",1.0
83427,10,3589,"BANYONG","",1.0
83428,4,3593,"BANYONG","",1.0
83429,5,3593,"BANYONG","",2.0
83430,8,3562,"BANYONG","",1.0
83431,2,3656,"BANYONG","",1.0
83432,3,3656,"BANYONG","",1.0
83433,4,3689,"BANYONG","",1.0
83434,5,3689,"BANYONG","",2.0
83435,10,3690,"BANYONG","",1.0
83436,9,3758,"BANYONG","",1.0
83437,7,3818,"BANYONG","",2.0
83438,8,3819,"BANYONG","",1.0
83439,2,3869,"BANYONG","L",2.0
83440,3,3869,"BANYONG","L",5.0
83441,9,3869,"BANYONG","L",2.0
83442,1,3883,"BANYONG","",1.0
83443,1,3911,"BANYONG","",2.0
83444,3,3911,"BANYONG","",1.0
83445,4,3911,"BANYONG","",1.0
83446,5,3911,"BANYONG","",3.0
83447,6,3911,"BANYONG","",4.0
83448,7,3911,"BANYONG","",1.0
83449,8,3911,"BANYONG","",2.0
83450,10,3911,"BANYONG","",3.0
83451,5,3914,"BANYONG","",1.0
83452,6,3914,"BANYONG","",1.0
83453,6,3968,"BANYONG","",1.0
83454,6,3980,"BANYONG","",2.0
83455,3,4074,"BANYONG","",1.0
83456,1,4116,"BANYONG","L",1.0
83457,10,4151,"BANYONG","",3.0
83458,2,4163,"BANYONG","",1.0
83459,8,4163,"BANYONG","",1.0
83460,1,4322,"BANYONG","",1.0
83461,3,4323,"BANYONG","",1.0
83462,4,4324,"BANYONG","L",2.0
83463,5,4324,"BANYONG","L",1.0
83464,7,4324,"BANYONG","L",1.0
83465,8,4324,"BANYONG","L",1.0
83466,7,4326,"BANYONG","L",1.0
83467,9,4327,"BANYONG","L",1.0
83468,9,4445,"BANYONG","L",1.0
83469,9,4467,"BANYONG","",1.0
83470,3,4767,"BANYONG","",1.0
83471,9,4814,"BANYONG","",1.0
83472,1,4834,"BANYONG","",1.0
83473,7,4860,"BANYONG","",1.0
83474,9,4926,"BANYONG","L",1.0
83475,6,4937,"BANYONG","",1.0
83476,1,4987,"BANYONG","",1.0
83477,4,4987,"BANYONG","",1.0
83478,9,5001,"BANYONG","",1.0
83479,2,5002,"BANYONG","",2.0
83480,4,5002,"BANYONG","",1.0
83481,7,5002,"BANYONG","",1.0
83482,10,5009,"BANYONG","",1.0
83483,4,5010,"BANYONG","",1.0
83484,5,5029,"BANYONG","L",1.0
83485,5,5030,"BANYONG","L",1.0
83486,4,5031,"BANYONG","L",1.0
83487,10,5051,"BANYONG","",1.0
83488,5,5154,"BANYONG","",1.0
83489,5,5542,"BANYONG","",1.0
83490,6,5542,"BANYONG","",1.0
83491,7,5542,"BANYONG","",1.0
83492,5,5563,"BANYONG","",1.0
83493,8,5563,"BANYONG","",1.0
83494,7,5565,"BANYONG","L",1.0
83495,5,5626,"BANYONG","L",1.0
83496,7,5627,"BANYONG","L",1.0
83497,8,5628,"BANYONG","L",2.0
83498,7,5771,"BANYONG","L",1.0
83499,2,5864,"BANYONG","",2.0
83500,3,5864,"BANYONG","",1.0
83501,4,5864,"BANYONG","",2.0
83502,10,5864,"BANYONG","",1.0
83503,6,6040,"BANYONG","",1.0
83504,2,6076,"BANYONG","",1.0
83505,3,6102,"BANYONG","",2.0
83506,6,6102,"BANYONG","",1.0
83507,7,6102,"BANYONG","",2.0
83508,8,6102,"BANYONG","",1.0
83509,4,6173,"BANYONG","",1.0
83510,5,6173,"BANYONG","",2.0
83511,7,6173,"BANYONG","",2.0
83512,8,6173,"BANYONG","",1.0
83513,3,6276,"BANYONG","L",1.0
83514,9,6284,"BANYONG","",1.0
83515,2,6285,"BANYONG","",1.0
83516,3,6285,"BANYONG","",3.0
83517,8,6430,"BANYONG","",1.0
83518,1,6546,"BANYONG","",2.0
83519,3,6546,"BANYONG","",1.0
83520,5,6546,"BANYONG","",2.0
83521,4,6815,"BANYONG","",2.0
83522,8,6815,"BANYONG","",1.0
83523,9,6815,"BANYONG","",2.0
83524,9,6820,"BANYONG","",2.0
83525,4,7226,"BANYONG","",1.0
83526,7,7308,"BANYONG","",1.0
83527,8,7309,"BANYONG","",1.0
83528,6,7324,"BANYONG","",2.0
83529,7,7324,"BANYONG","",1.0
83530,8,7324,"BANYONG","",1.0
83531,9,7324,"BANYONG","",1.0
83532,4,7325,"BANYONG","",1.0
83533,3,7352,"BANYONG","",1.0
83534,5,7352,"BANYONG","",2.0
83535,2,7354,"BANYONG","",1.0
83536,4,7354,"BANYONG","",2.0
83537,7,7354,"BANYONG","",1.0
83538,1,7355,"BANYONG","",1.0
83539,3,7355,"BANYONG","",1.0
83540,6,7355,"BANYONG","",1.0
83541,8,7355,"BANYONG","",1.0
83542,7,7356,"BANYONG","",1.0
83543,8,7356,"BANYONG","",1.0
83544,1,7427,"BANYONG","",2.0
83545,10,7427,"BANYONG","",1.0
83546,9,7428,"BANYONG","",2.0
83547,2,7430,"BANYONG","",1.0
83548,6,7430,"BANYONG","",1.0
83549,9,7610,"BANYONG","",1.0
83550,10,7610,"BANYONG","",1.0
83551,3,8117,"BANYONG","",1.0
83552,6,8117,"BANYONG","",1.0
83553,7,8137,"BANYONG","",1.0
83554,2,8154,"BANYONG","",2.0
83555,4,8154,"BANYONG","",2.0
83556,5,8154,"BANYONG","",1.0
83557,6,8175,"BANYONG","",2.0
83558,3,8204,"BANYONG","",1.0
83559,4,8204,"BANYONG","",1.0
83560,8,8204,"BANYONG","",1.0
83561,4,8326,"BANYONG","",1.0
83562,4,8573,"BANYONG","",1.0
83563,9,8581,"BANYONG","",1.0
83564,10,8582,"BANYONG","",2.0
83565,2,8583,"BANYONG","",1.0
83566,4,8583,"BANYONG","",1.0
83567,5,8583,"BANYONG","",1.0
83568,6,8583,"BANYONG","",1.0
83569,7,8583,"BANYONG","",1.0
83570,7,8583,"BANYONG","",1.0
83571,5,8584,"BANYONG","",1.0
83572,3,8609,"BANYONG","",1.0
83573,7,8636,"BANYONG","",1.0
83574,3,8742,"BANYONG","",3.0
83575,4,8742,"BANYONG","",3.0
83576,6,8825,"BANYONG","",1.0
83577,9,8866,"BANYONG","",1.0
83578,10,8867,"BANYONG","",3.0
83579,5,8868,"BANYONG","",2.0
83580,7,8868,"BANYONG","",1.0
83581,3,8872,"BANYONG","",2.0
83582,4,8872,"BANYONG","",2.0
83583,8,8872,"BANYONG","",2.0
83584,2,8925,"BANYONG","",1.0
83585,8,9044,"BANYONG","",1.0
83586,3,9045,"BANYONG","",1.0
83587,6,9045,"BANYONG","",1.0
83588,10,9047,"BANYONG","",2.0
83589,3,9050,"BANYONG","",1.0
83590,7,9051,"BANYONG","",1.0
83591,6,9054,"BANYONG","",1.0
83592,10,9182,"BANYONG","",9.0
83593,9,9183,"BANYONG","",1.0
83594,9,9183,"BANYONG","",1.0
83595,5,9184,"BANYONG","",2.0
83596,5,9186,"BANYONG","",1.0
83597,10,9186,"BANYONG","",2.0
83598,9,9187,"BANYONG","",1.0
83599,3,9193,"BANYONG","",1.0
83600,4,9193,"BANYONG","",3.0
83601,7,9193,"BANYONG","",1.0
83602,3,9195,"BANYONG","",1.0
83603,3,9195,"BANYONG","",1.0
83604,4,9195,"BANYONG","",2.0
83605,3,9196,"BANYONG","",1.0
83606,5,9196,"BANYONG","",1.0
83607,5,9196,"BANYONG","",1.0
83608,7,9196,"BANYONG","",1.0
83609,8,9196,"BANYONG","",1.0
83610,4,9197,"BANYONG","",1.0
83611,6,9198,"BANYONG","",1.0
83612,5,9199,"BANYONG","",3.0
83613,8,9199,"BANYONG","",1.0
83614,9,9200,"BANYONG","",1.0
83615,10,9200,"BANYONG","",1.0
83616,1,9206,"BANYONG","",1.0
83617,4,9206,"BANYONG","",2.0
83618,7,9206,"BANYONG","",1.0
83619,8,9206,"BANYONG","",3.0
83620,10,9207,"BANYONG","",1.0
83621,6,9236,"BANYONG","",1.0
83622,2,9249,"BANYONG","",1.0
83623,3,9270,"BANYONG","",1.0
83624,3,9284,"BANYONG","",1.0
83625,2,9402,"BANYONG","",1.0
83626,3,9402,"BANYONG","",1.0
83627,4,9402,"BANYONG","",1.0
83628,10,9402,"BANYONG","",1.0
83629,7,9403,"BANYONG","",1.0
83630,2,9613,"BANYONG","",1.0
83631,1,9676,"BANYONG","",2.0
83632,2,9676,"BANYONG","",4.0
83633,3,9676,"BANYONG","",1.0
83634,4,9676,"BANYONG","",1.0
83635,5,9676,"BANYONG","",4.0
83636,6,9676,"BANYONG","",2.0
83637,7,9676,"BANYONG","",1.0
83638,1,9677,"BANYONG","",1.0
83639,4,9677,"BANYONG","",1.0
83640,6,9677,"BANYONG","",1.0
83641,8,9677,"BANYONG","",1.0
83642,4,9678,"BANYONG","",1.0
83643,7,9678,"BANYONG","",1.0
83644,9,9679,"BANYONG","",4.0
83645,10,9679,"BANYONG","",3.0
83646,10,9680,"BANYONG","",1.0
83647,9,9705,"BANYONG","L",2.0
83648,2,141,"BELINGA","",1.0
83649,4,141,"BELINGA","",1.0
83650,3,143,"BELINGA","",1.0
83651,3,165,"BELINGA","",1.0
83652,1,337,"BELINGA","L",1.0
83653,1,378,"BELINGA","",2.0
83654,2,378,"BELINGA","",2.0
83655,3,378,"BELINGA","",1.0
83656,5,378,"BELINGA","",1.0
83657,3,380,"BELINGA","L",1.0
83658,5,488,"BELINGA","L",1.0
83659,1,489,"BELINGA","L",1.0
83660,1,495,"BELINGA","L",3.0
83661,5,495,"BELINGA","L",1.0
83662,1,541,"BELINGA","L",3.0
83663,5,661,"BELINGA","L",3.0
83664,3,690,"BELINGA","",1.0
83665,1,1317,"BELINGA","",1.0
83666,1,1836,"BELINGA","",1.0
83667,2,1836,"BELINGA","",1.0
83668,6,2292,"BELINGA","L",1.0
83669,5,2313,"BELINGA","L",1.0
83670,3,2387,"BELINGA","",1.0
83671,4,2387,"BELINGA","",1.0
83672,2,2481,"BELINGA","",1.0
83673,5,2481,"BELINGA","",1.0
83674,1,2567,"BELINGA","",1.0
83675,5,2580,"BELINGA","",1.0
83676,5,2593,"BELINGA","",1.0
83677,1,2594,"BELINGA","",1.0
83678,5,2594,"BELINGA","",1.0
83679,1,2763,"BELINGA","",1.0
83680,2,2763,"BELINGA","",7.0
83681,2,2798,"BELINGA","L",1.0
83682,3,2798,"BELINGA","L",1.0
83683,4,3008,"BELINGA","L",1.0
83684,5,3008,"BELINGA","L",1.0
83685,1,3018,"BELINGA","L",1.0
83686,2,3018,"BELINGA","L",1.0
83687,2,3021,"BELINGA","L",1.0
83688,3,3033,"BELINGA","",1.0
83689,2,3154,"BELINGA","",1.0
83690,1,3180,"BELINGA","",1.0
83691,3,3185,"BELINGA","",1.0
83692,1,3215,"BELINGA","",2.0
83693,2,3215,"BELINGA","",1.0
83694,3,3215,"BELINGA","",1.0
83695,4,3215,"BELINGA","",1.0
83696,1,3507,"BELINGA","",2.0
83697,2,3507,"BELINGA","",1.0
83698,4,3507,"BELINGA","",4.0
83699,2,3553,"BELINGA","",2.0
83700,1,3556,"BELINGA","",3.0
83701,3,3556,"BELINGA","",2.0
83702,5,3556,"BELINGA","",1.0
83703,1,3567,"BELINGA","",1.0
83704,1,3568,"BELINGA","",1.0
83705,2,3569,"BELINGA","",1.0
83706,3,3690,"BELINGA","",1.0
83707,3,3712,"BELINGA","",1.0
83708,1,3757,"BELINGA","",3.0
83709,4,3757,"BELINGA","",1.0
83710,5,3757,"BELINGA","",2.0
83711,1,3767,"BELINGA","",1.0
83712,2,3767,"BELINGA","",1.0
83713,3,3767,"BELINGA","",2.0
83714,1,3980,"BELINGA","",3.0
83715,2,3980,"BELINGA","",1.0
83716,3,3980,"BELINGA","",1.0
83717,4,3980,"BELINGA","",1.0
83718,5,3980,"BELINGA","",1.0
83719,3,4034,"BELINGA","L",1.0
83720,5,4078,"BELINGA","",1.0
83721,3,4150,"BELINGA","",1.0
83722,4,4449,"BELINGA","",1.0
83723,4,4464,"BELINGA","",1.0
83724,5,4466,"BELINGA","",1.0
83725,1,4565,"BELINGA","",1.0
83726,3,4565,"BELINGA","",1.0
83727,5,4565,"BELINGA","",3.0
83728,5,4935,"BELINGA","",1.0
83729,5,4936,"BELINGA","",1.0
83730,2,5051,"BELINGA","",1.0
83731,2,5056,"BELINGA","",1.0
83732,5,5057,"BELINGA","",1.0
83733,4,5146,"BELINGA","",1.0
83734,4,6042,"BELINGA","",1.0
83735,4,6042,"BELINGA","",1.0
83736,5,6042,"BELINGA","",1.0
83737,3,6100,"BELINGA","",1.0
83738,2,6101,"BELINGA","",1.0
83739,1,6164,"BELINGA","",1.0
83740,2,6164,"BELINGA","",4.0
83741,3,6164,"BELINGA","",2.0
83742,5,6164,"BELINGA","",6.0
83743,1,7303,"BELINGA","",1.0
83744,5,7304,"BELINGA","",2.0
83745,5,7319,"BELINGA","L",3.0
83746,3,7337,"BELINGA","",1.0
83747,1,7350,"BELINGA","",1.0
83748,5,7350,"BELINGA","",1.0
83749,3,7354,"BELINGA","",1.0
83750,3,7898,"BELINGA","",1.0
83751,1,7908,"BELINGA","",1.0
83752,2,7910,"BELINGA","",2.0
83753,4,7910,"BELINGA","",1.0
83754,1,8224,"BELINGA","",1.0
83755,5,8310,"BELINGA","",1.0
