Year,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PlusMinus
2011,32.4,6.2,15.3,0.6,2.4,2,2.6,0.5,2.6,3.1,4.8,2.7,0.6,0.3,15,-1.1
2016,37.4,8.8,19.7,1.6,4.8,5.9,6.9,1,3.1,4.1,7.7,3.4,1,0.6,25,6.1
