Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
no,WAMPAMBA,5,female,31,dissatisfied
yes,Village A,3,male,26,dissatisfied
yes,SSEBULIBA,2,female,32,very_dissatisf
yes,SSEBULIBA,14,male,42,dissatisfied
no,WAMPAMBA,1,female,23,satisfied
no,WAMPAMBA,20,male,35,satisfied
yes,SSEBULIBA,21,male,21,dissatisfied
yes,SSEBULIBA,3,male,24,satisfied
yes,SSEBULIBA,4,male,41,neither_satisf
yes,CCE,2,female,20,satisfied
yes,Village A,1,male,26,dissatisfied
yes,Village A,2,male,26,dissatisfied
yes,Village A,1,male,28,very_dissatisf
yes,Village A,3,male,27,dissatisfied
yes,Village A,3,male,30,satisfied
yes,Village A,1,male,23,dissatisfied
yes,KI 18,10,male,35,dissatisfied
yes,KI 18,3,male,22,dissatisfied
yes,KISAASI CENTRAL,1,male,26,dissatisfied
yes,KI 18,1,male,42,dissatisfied
yes,KISAASI CENTRAL,14,male,21,very_dissatisf
yes,KI 18,1,male,31,dissatisfied
yes,KI 18,6,female,21,dissatisfied
yes,Village 12 ,1,male,18,dissatisfied
yes,Village 12,6,male,30,very_dissatisf
yes,Village 12,5,male,24,very_dissatisf
yes,Zone VI,7,female,30,neither_satisf
yes,"Village 12
",1,female,20,very_dissatisf
yes,KI 18,2,male,26,neither_satisf
yes,KI 18,2,male,27,dissatisfied
yes,Zone VI,1,female,27,satisfied
yes,Village 12 ,2,male,25,dissatisfied
yes,BUYINJA,22,male,22,very_satisfied
yes,BUYINJA,19,male,19,dissatisfied
yes,BUYINJA,26,female,30,very_satisfied
yes,Zone VI,10,male,23,very_dissatisf
yes,KISAASI CENTRAL,1,male,27,satisfied
yes,BUYINJA,20,male,48,very_dissatisf
yes,KI 18,1,female,32,dissatisfied
yes,KI 18,2,male,27,very_dissatisf
yes,BUYINJA,15,female,62,dissatisfied
yes,KI 18,2,male,30,dissatisfied
yes,KISAASI CENTRAL,1,male,24,satisfied
yes,KI 18,4,male,23,dissatisfied
yes,BUYINJA,30,male,52,dissatisfied
yes,Zone VI,6,female,29,very_dissatisf
yes,Zone VI,5,female,30,satisfied
yes,Zone VI,9,male,26,very_dissatisf
yes,BUYINJA,10,male,29,satisfied
yes,KI 18,1,male,22,very_dissatisf
yes,Zone VI,1,female,25,dissatisfied
yes,BUYINJA,4,female,29,very_dissatisf
yes,BUYINJA,18,male,39,satisfied
yes,Village 12,1,female,21,satisfied
yes,Zone VI,2,male,25,very_dissatisf
yes,BUYINJA,8,female,30,neither_satisf
yes,Village 12,9,male,37,very_satisfied
yes,BUYINJA,7,female,37,very_satisfied
yes,BUYINJA,34,female,34,very_satisfied
yes,Zone VI,8,female,31,very_dissatisf
yes,Zone VI,6,male,25,dissatisfied
yes,KISAASI CENTRAL,20,female,40,very_dissatisf
yes,KISAASI CENTRAL,4,female,30,very_satisfied
yes,KISAASI CENTRAL,37,male,37,very_dissatisf
yes,KISAASI CENTRAL,4,male,33,dissatisfied
yes,KISAASI CENTRAL,2,female,24,very_satisfied
yes,Zone VI,6,male,37,dissatisfied
yes,KISAASI CENTRAL,26,male,26,satisfied
yes,Zone VI,46,male,48,dissatisfied
yes,KISAASI CENTRAL,2,female,30,satisfied
yes,KISAASI CENTRAL,6,male,39,satisfied
no,KIGANDA,5,male,21,satisfied
no,KIGANDA,15,male,33,neither_satisf
no,KIGANDA,3,male,23,neither_satisf
no,KIGANDA,25,female,25,dissatisfied
yes,KASUBI I,12,male,18,dissatisfied
yes,SERWADA,4,male,23,dissatisfied
no,KIGANDA,5,female,21,dissatisfied
no,KIGANDA,10,male,29,satisfied
no,KIGANDA,2,female,45,very_dissatisf
no,KIGANDA,12,male,32,very_dissatisf
no,KASUBI I,40,male,76,dissatisfied
yes,MENGO HILL,15,male,33,dissatisfied
no,KIGANDA,4,male,27,very_dissatisf
no,KASUBI I,2,female,45,very_dissatisf
yes,SERWADA,2,male,24,very_dissatisf
no,KIGANDA,1,male,20,very_dissatisf
yes,MENGO HILL,25,male,52,dissatisfied
no,KASUBI I,3,male,35,very_dissatisf
no,KIGANDA,3,male,23,satisfied
no,KIGANDA,20,male,43,very_dissatisf
no,NAMALWA II,8,male,50,very_dissatisf
yes,MENGO HILL,3,male,26,dissatisfied
no,NAMALWA II,2,female,25,very_dissatisf
yes,SERWADA,34,male,34,very_dissatisf
no,MAPEEERA,7,female,26,dissatisfied
yes,SERWADA,3,female,24,satisfied
no,MAPEEERA,4,female,24,neither_satisf
no,NAMALWA II,1,female,30,very_dissatisf
no,KASUBI I,25,male,25,very_dissatisf
no,MAPEEERA,2,female,28,very_dissatisf
yes,MENGO HILL,10,male,34,neither_satisf
no,MAPEEERA,40,male,69,neither_satisf
no,NAMALWA II,3,male,35,dissatisfied
no,MAPEEERA,2,male,36,dissatisfied
no,KASUBI I,12,male,35,satisfied
yes,MENGO HILL,15,female,48,very_dissatisf
yes,SERWADA,1,female,25,very_dissatisf
yes,MENGO HILL,2,male,19,very_dissatisf
no,MAPEEERA,15,male,36,very_dissatisf
yes,SERWADA,35,male,35,very_dissatisf
yes,MENGO HILL,32,male,32,dissatisfied
no,NAMALWA II,5,male,18,very_dissatisf
yes,SERWADA,4,female,22,dissatisfied
yes,MENGO HILL,20,male,55,dissatisfied
yes,MENGO HILL,10,female,49,very_dissatisf
yes,MENGO HILL,5,female,28,neither_satisf
no,KASUBI I,7,male,29,very_dissatisf
yes,SERWADA,24,male,24,very_dissatisf
yes,SERWADA,1,female,23,satisfied
no,NAMALWA II,10,male,32,very_dissatisf
no,NAMALWA II,20,male,22,very_dissatisf
no,MAPEEERA,6,male,32,dissatisfied
yes,SERWADA,13,male,28,dissatisfied
no,NAMALWA II,4,male,27,very_dissatisf
no,KASUBI I,4,female,24,dissatisfied
yes,SERWADA,5,male,29,dissatisfied
no,KASUBI I,5,male,44,neither_satisf
no,MAPEEERA,5,male,21,dissatisfied
no,KASUBI I,15,female,49,satisfied
yes,SERWADA,10,male,22,very_dissatisf
no,NAMALWA II,1,male,27,dissatisfied
no,NAMALWA II,3,male,29,satisfied
no,KASUBI I,5,male,22,dissatisfied
no,MAPEEERA,5,female,27,dissatisfied
yes,MENGO HILL,15,female,45,neither_satisf
no,MAPEEERA,9,male,39,very_dissatisf
no,NAMALWA II,2,female,23,satisfied
no,MAPEEERA,4,male,22,neither_satisf
no,KASUBI I,1,male,21,very_dissatisf
no,NAMALWA II,15,female,36,very_dissatisf
no,MAPEEERA,6,female,24,dissatisfied
yes,SEMPA,2,male,50,dissatisfied
yes,SEMPA,8,male,30,neither_satisf
yes,SEMPA,3,female,32,neither_satisf
yes,LUGALA,10,male,48,very_dissatisf
yes,LUGALA,30,male,30,very_dissatisf
yes,LUGALA,8,male,30,very_dissatisf
no,Market,1,female,25,satisfied
yes,LUGALA,40,male,40,dissatisfied
no,Market,1,female,36,dissatisfied
yes,SEMPA,8,female,20,very_dissatisf
no,Market,2,female,22,satisfied
yes,KIYAGA,6,male,18,dissatisfied
no,Market,16,male,19,dissatisfied
yes,SEMPA,5,male,28,dissatisfied
yes,SEMPA,10,female,30,dissatisfied
yes,SEMPA,1,female,25,satisfied
yes,KIYAGA,5,female,39,satisfied
no,Nateete Central D,4,male,18,very_dissatisf
yes,KIYAGA,3,male,23,neither_satisf
yes,SEMPA,1,female,38,very_dissatisf
no,Market,2,male,18,dissatisfied
yes,LUGALA,1,female,23,satisfied
no,Market,5,female,30,dissatisfied
yes,KIYAGA,25,female,43,dissatisfied
no,Market,2,male,22,dissatisfied
yes,KIYAGA,3,female,23,very_satisfied
no,Nateete central D,5,female,27,dissatisfied
no,ST. ANNE,2,female,23,dissatisfied
yes,KIYAGA,15,female,28,dissatisfied
yes,KIYAGA,7,female,23,very_dissatisf
no,Nateete central D,2,female,20,dissatisfied
yes,KIYAGA,7,female,23,satisfied
no,Nateete Central D,1,female,29,satisfied
yes,SEMPA,10,female,44,very_dissatisf
no,Nateete central D,3,female,26,dissatisfied
no,ST. ANNE,15,male,22,very_dissatisf
no,Nateete Central D,4,female,56,very_dissatisf
no,Nateete Central D,38,female,65,very_dissatisf
yes,SEMPA,5,female,40,satisfied
yes,KIYAGA,11,female,48,dissatisfied
no,ST. ANNE,3,male,28,dissatisfied
yes,SEMPA,13,female,32,satisfied
no,Nateete Central D,2,female,28,dissatisfied
no,Nateete Central D,1,female,26,very_dissatisf
no,KIYAGA,3,female,19,dissatisfied
no,ST. ANNE,8,male,31,dissatisfied
no,Market,6,female,29,dissatisfied
yes,SEMPA,4,female,22,satisfied
no,Nateete central D,3,female,23,very_dissatisf
no,ST. ANNE,8,male,40,very_dissatisf
no,Market,3,male,25,neither_satisf
no,Nateete central D,6,female,23,dissatisfied
no,ST. ANNE,10,male,56,very_dissatisf
no,Market,4,female,29,satisfied
no,Nateete central D,6,male,25,very_dissatisf
no,Market,19,female,19,satisfied
no,Market,50,male,50,neither_satisf
yes,KIYAGA,6,female,50,satisfied
yes,KIYAGA,1,female,28,satisfied
yes,LUGALA,5,female,36,dissatisfied
no,ST. ANNE,3,female,36,neither_satisf
no,ST. ANNE,18,male,18,very_dissatisf
no,ST. ANNE,6,male,46,very_dissatisf
no,ST. ANNE,19,female,19,very_dissatisf
no,ST. ANNE,2,male,19,dissatisfied
yes,LUGALA,29,male,40,neither_satisf
yes,LUGALA,10,female,28,neither_satisf
yes,LUGALA,4,male,45,neither_satisf
yes,LUGALA,28,male,28,very_dissatisf
yes,LUGALA,5,male,51,neither_satisf
yes,LUGALA,11,female,41,neither_satisf
yes,MBOGO,20,male,31,dissatisfied
yes,MIWANDA,3,male,24,very_dissatisf
yes,MIWANDA,1,female,23,very_dissatisf
yes,MIWANDA,1,female,23,dissatisfied
yes,MIWANDA,3,female,25,satisfied
yes,MBOGO,2,male,18,dissatisfied
yes,MBOGO,22,female,22,satisfied
yes,MIWANDA,6,female,30,satisfied
yes,MBOGO,18,female,18,satisfied
yes,MBOGO,10,female,22,dissatisfied
yes,MBOGO,5,female,30,satisfied
yes,MIWANDA,1,female,18,satisfied
yes,MIWANDA,1,female,20,very_dissatisf
yes,MIWANDA,1,female,19,satisfied
yes,MIWANDA,1,male,23,satisfied
yes,MIWANDA,25,female,25,very_satisfied
yes,MIWANDA,3,female,20,dissatisfied
yes,MBOGO,7,female,25,satisfied
yes,MBOGO,8,female,23,satisfied
yes,MIWANDA,4,male,49,neither_satisf
yes,MBOGO,39,female,55,very_dissatisf
yes,MBOGO,3,female,30,dissatisfied
yes,MBOGO,4,male,29,neither_satisf
yes,MBOGO,1,female,31,satisfied
