Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
no,UCB,17,female,19,very_dissatisf
no,UCB,2,female,25,very_dissatisf
no,SEMPIJA,40,male,40,very_dissatisf
yes,Biina zone C,40,male,55,satisfied
no,UCB,24,male,24,very_dissatisf
no,UCB,7,female,36,dissatisfied
no,SEMPIJA,1,female,33,very_dissatisf
yes,Biina zone C,3,male,46,dissatisfied
yes,UEB,5,male,47,dissatisfied
yes,UEB ,20,female,54,dissatisfied
no,KEZIRONI,3,female,26,dissatisfied
yes,Biina zone C,1,female,40,satisfied
yes,Biina zone C,1,female,28,satisfied
no,KEZIRONI,1,female,31,very_dissatisf
yes,Biina zone C,10,male,36,satisfied
no,SEMPIJA,1,female,24,dissatisfied
yes,UEB ,10,female,29,very_dissatisf
yes,UEB,1,female,27,neither_satisf
yes,UEB,3,male,48,dissatisfied
yes,UEB,5,male,30,dissatisfied
no,ZONE V,5,male,38,satisfied
no,KISOTA,10,male,30,very_dissatisf
yes,KI 9,5,male,27,dissatisfied
no,KISOTA,3,male,21,dissatisfied
no,KISOTA,8,male,38,satisfied
yes,SSEBOWA,3,male,29,very_dissatisf
yes,SSEBOWA,5,male,35,dissatisfied
yes,SSEBOWA,4,female,26,very_dissatisf
yes,KI 9,1,female,20,very_satisfied
no,KISOTA,13,female,45,satisfied
no,KISOTA,4,female,53,satisfied
yes,KI 9,1,female,21,satisfied
yes,SSEBOWA,2,female,23,dissatisfied
yes,SSEBOWA,20,male,40,satisfied
no,ZONE V,18,male,21,satisfied
yes,ZONE V,8,male,29,neither_satisf
no,ZONE V,3,male,35,satisfied
yes,SSEBOWA,3,male,27,very_dissatisf
yes,TUBA,1,male,25,dissatisfied
no,ZONE V,8,male,25,neither_satisf
yes,SSEBOWA,3,female,25,very_dissatisf
yes,TUBA,9,male,62,dissatisfied
no,Biina zone a ,1,female,18,very_dissatisf
yes,SSEBOWA,23,female,35,satisfied
yes,SSEBOWA,41,male,41,dissatisfied
no,KISOTA,1,male,18,dissatisfied
yes,KI 9,13,male,28,satisfied
no,Biina zone a ,10,male,23,very_satisfied
no,ZONE V,5,male,32,dissatisfied
no,Biina zone a ,6,female,35,dissatisfied
no,KISOTA,8,male,45,dissatisfied
