SITE,FISHSIZE
AQUE,10
AQUE,11
AQUE,12
AQUE,10
AQUE,12
AQUE,12
AQUE,14
AQUE,10
AQUE,7
AQUE,10
AQUE,11
AQUE,6
AQUE,8
AQUE,12
AQUE,15
AQUE,5
AQUE,6
AQUE,8
AQUE,7
AQUE,9
MOHK,10
MOHK,11
MOHK,15
MOHK,11
MOHK,12
MOHK,13
MOHK,15
MOHK,7
MOHK,10
MOHK,12
MOHK,8
MOHK,7
MOHK,10
MOHK,8
MOHK,10
MOHK,12
MOHK,15
MOHK,8
MOHK,10
MOHK,12
NAPL,10
NAPL,12
NAPL,7
NAPL,10
NAPL,14
NAPL,14
NAPL,10
NAPL,13
NAPL,15
NAPL,7
NAPL,10
NAPL,12
NAPL,8
NAPL,6
NAPL,7
NAPL,12
NAPL,15
NAPL,6
NAPL,8
NAPL,12
