Species,ScieName,SpeciesGrp,YearC,Decade,Status,PartyName,Flag,Fleet,Stock,SampArea,AreaT1,SpcGearGrp,GearGrp,GearCode,CatchTypeCode,QualInfoCode,Qty_t
PXX,Pelagic Sharks nei,5-Sharks (other),1994,1990,CP,UNITED KINGDOM (O.Territories),UK.Bermuda,UK.BMU,A+M,LLBE46,SE,All gears,LL,LL,C,UNKN,36
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,St VINCENT & GRENADINES,St. Vincent and Grenadines,VCT,A+M,unkn,NW,All gears,TR,TROL,L,RPT1,2.5
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,URUGUAY,Uruguay,URY,ATS,unkn,SW,All gears,LL,LLHB,L,RPT1,8
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,130
RSK,Carcharhinidae,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,339
SPN,Sphyrna spp,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,13
CCP,Carcharhinus plumbeus,5-Sharks (other),2002,2000,CP,URUGUAY,Uruguay,URY,A+M,unkn,SW,All gears,LL,LLHB,L,RPT1,14
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,UNITED KINGDOM (O.Territories),UK.Sta Helena,UK.SHN,A+M,unkn,SE,All gears,LL,LL,L,RPT1,1.96
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATN,unkn,NE,All gears,LL,LL-surf,C,RPT1,8.2
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,ATN,unkn,WTRO,Longline,LL,LLHB,L,RPT1,6
LMA,Isurus paucus,5-Sharks (other),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,A+M,unkn,WTRO,All gears,LL,LLHB,L,RPT1,2
ALV,Alopias vulpinus,5-Sharks (other),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,A+M,unkn,WTRO,All gears,LL,LLHB,L,RPT1,10
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,TRINIDAD and TOBAGO,Trinidad and Tobago,TTO,A+M,unkn,WTRO,All gears,LL,LLHB,L,RPT1,41
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,LL,LLHB,C,RPT1,223.308
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,TW,TRAW,C,RPT1,0.785
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,HL,HAND,C,RPT1,0.207
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,GN,GILL,C,RPT1,12.131
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,All gears,RR,RR,C,RPT1,0.147
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Longline,LL,LLHB,C,RPT1,61.123
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,TW,TRAW,C,RPT1,0.796
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,HL,HAND,C,RPT1,0.359
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,GN,GILL,C,RPT1,14.409
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,HP,HARP,C,RPT1,1.077
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,TL,TL,C,RPT1,0.096
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,RR,RR,C,RPT1,0.125
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,CANADA,Canada,CAN,ATN,unkn,NW,Other surf.,TP,TRAP,C,RPT1,0.166
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,CANADA,Canada,CAN,A+M,unkn,NW,All gears,LL,LLHB,C,RPT1,5.12
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,CANADA,Canada,CAN,A+M,unkn,NW,All gears,TW,TRAW,C,RPT1,0.795
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,CANADA,Canada,CAN,A+M,unkn,NW,All gears,HL,HAND,C,RPT1,0.463
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,CANADA,Canada,CAN,A+M,unkn,NW,All gears,GN,GILL,C,RPT1,14.705
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Cyprus,EU.CYP,A+M,BIL95,MEDI,All gears,LL,LL,L,RPT1,7.866
DGZ,Squalus spp,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Cyprus,EU.CYP,A+M,BIL95,MEDI,All gears,GN,GILL,L,RPT1,13.987
SHX,Squaliformes,5-Sharks (other),2002,2000,NCO,Non-contracting parties,Seychelles,SYC,A+M,unkn,SE,All gears,LL,LL,L,RPT1,0.897
ALV,Alopias vulpinus,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,A+M,unkn,NE,All gears,LL,LL-surf,L,RPT1,21.2
ALV,Alopias vulpinus,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,A+M,unkn,NWC,All gears,LL,LL-surf,L,RPT1,89.4
ALV,Alopias vulpinus,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,A+M,BIL95,MEDI,All gears,LL,LL-surf,L,RPT1,0.5
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,ATN,unkn,NWC,Longline,LL,LL-surf,C,RPT1,282.7
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,MED,BIL95,MEDI,Longline,LL,LL-surf,C,RPT1,13.5
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,ATN,unkn,NE,All gears,LL,LL-surf,C,RPT1,2.2
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,A+M,unkn,NE,All gears,LL,LL-surf,L,RPT1,211.4
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,A+M,unkn,NWC,All gears,LL,LL-surf,L,RPT1,86.6
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,A+M,unkn,SOUT,All gears,LL,LL-surf,L,RPT1,1.3
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,ATN,unkn,NE,Longline,LL,LL-surf,L,RPT1,112.6
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MAINLND,ATN,unkn,NWC,Longline,LL,LL-surf,L,RPT1,55.3
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-BLZ,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,145.6
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-BLZ,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,32.9
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-BLZ,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,10.8
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-BOL,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,6
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-BOL,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,1.6
BTH,Alopias superciliosus,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-BOL,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.6
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-BOL,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,1.2
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-BOL,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.2
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA,ATS,unkn,SW,Longline,LL,LL,C,RPT1,1305.9
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA,A+M,unkn,SW,All gears,LL,LL,C,RPT1,272.6
BTH,Alopias superciliosus,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA,A+M,unkn,SW,All gears,LL,LL,C,RPT1,66.6
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA,ATS,unkn,SW,Longline,LL,LL,C,RPT1,94.9
OCS,Carcharhinus longimanus,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA,A+M,unkn,SW,All gears,LL,LL,C,RPT1,202.5
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA,A+M,unkn,SW,All gears,LL,LL,C,RPT1,72.4
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-CAN,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,2.3
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-CAN,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.1
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-CAN,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,0.3
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-ESP,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,124.5
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-ESP,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,8.4
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-ESP,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,33.6
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-ESP,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,128.8
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-HND,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,210.2
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-HND,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,19.1
BTH,Alopias superciliosus,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-HND,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,3.8
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-HND,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,51.8
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-HND,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,42.9
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-ISL,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,9.5
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-PAN,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,50.5
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-PAN,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.7
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-PAN,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,4.4
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-PAN,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,3.2
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-PRT,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,59.1
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-PRT,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,16.2
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-VCT,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,38
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-VCT,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,17.1
BTH,Alopias superciliosus,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-VCT,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.1
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-VCT,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,4.4
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-VCT,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,48
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-GUY,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,10.4
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-GUY,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,4.7
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-GUY,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,1.2
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-GUY,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.2
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-TAI,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,26.1
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-URY,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,5.9
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-USA,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,0.5
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-VUT,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,7.3
FAL,Carcharhinus falciformis,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-VUT,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,3.3
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA-VUT,ATS,unkn,SW,Longline,LL,LLFB,C,RPT1,0.9
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA-VUT,A+M,unkn,SW,All gears,LL,LLFB,C,RPT1,0.1
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,BRAZIL,Brazil,BRA,ATS,unkn,SW,Other surf.,BB,BB,C,RPT1,4.3
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA,A+M,unkn,SW,All gears,BB,BB,C,RPT1,675
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,BRAZIL,Brazil,BRA,A+M,unkn,SW,All gears,UN,UNCL,C,RPT1,1488.1
SHX,Squaliformes,5-Sharks (other),2001,2000,CP,KOREA REP.,Korea Rep.,KOR,A+M,unkn,SE,All gears,LL,LLFB,C,RPT1,14.7
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,GOFM,Longline,LL,LL,DD,RPT1,0.48
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,Longline,LL,LL,DD,RPT1,21.74
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NWC,Longline,LL,LL,DD,RPT1,45.48
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATS,unkn,SW,Longline,LL,LL,DD,RPT1,0
CCL,Carcharhinus limbatus,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,LL,LL,L,RPT1,1.01
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,WTRO,Longline,LL,LL,DD,RPT1,0.11
CCP,Carcharhinus plumbeus,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,105.02
CCS,Carcharhinus signatus,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,0.02
SPN,Sphyrna spp,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,9.82
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,LL,LL,L,RPT1,0.02
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,SW,All gears,LL,LL,L,RPT1,0.02
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,SW,All gears,LL,LL,DD,RPT1,0.07
SHX,Squaliformes,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,UN,UNCL,DD,RPT1,0.3
POR,Lamna nasus,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NWC,All gears,LL,LL,L,RPT1,0.51
SMA,Isurus oxyrinchus,4-Sharks (major),2002,2000,CP,UNITED STATES,U.S.A.,USA,ATS,unkn,SW,Longline,LL,LL,L,RPT1,0.02
TIG,Galeocerdo cuvier,5-Sharks (other),2002,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,0.02
POR,Lamna nasus,4-Sharks (major),2002,2000,NCO,Non-contracting parties,Falklands,FLK,ATS,unkn,SW,All gears,LL,LL,C,RPT1,0.29
RSK,Carcharhinidae,5-Sharks (other),2002,2000,CP,GABON,Gabon,GAB,A+M,unkn,ETRO,All gears,TW,TRAW,L,RPT1,0.4
RSK,Carcharhinidae,5-Sharks (other),2002,2000,CP,GABON,Gabon,GAB,A+M,unkn,ETRO,All gears,GN,GILL,L,RPT1,122.1
BSH,Prionace glauca,4-Sharks (major),2000,2000,CP,EUROPEAN UNION,EU.Ireland,EU.IRL,ATN,unkn,NE,Other surf.,GN,GILL,L,RPT1,9
ALV,Alopias vulpinus,5-Sharks (other),2000,2000,CP,EUROPEAN UNION,EU.Ireland,EU.IRL,A+M,unkn,NE,All gears,GN,GILL,L,RPT1,0.1
GAG,Galeorhinus galeus,5-Sharks (other),2000,2000,CP,EUROPEAN UNION,EU.Ireland,EU.IRL,A+M,unkn,NE,All gears,GN,GILL,L,RPT1,0.9
BSH,Prionace glauca,4-Sharks (major),2002,2000,CP,EUROPEAN UNION,EU.Ireland,EU.IRL,ATN,unkn,NE,Other surf.,TW,MWTD,L,RPT1,11.1
GAG,Galeorhinus galeus,5-Sharks (other),2002,2000,CP,EUROPEAN UNION,EU.Ireland,EU.IRL,A+M,unkn,NE,All gears,TW,MWTD,L,RPT1,1.7
SHX,Squaliformes,5-Sharks (other),2001,2000,CP,St VINCENT & GRENADINES,St. Vincent and Grenadines,VCT,A+M,unkn,ATL,All gears,LL,LLFB,C,RPT1,2836.988
THR,Alopias spp,5-Sharks (other),2001,2000,CP,St VINCENT & GRENADINES,St. Vincent and Grenadines,VCT,A+M,unkn,ATL,All gears,LL,LLFB,C,RPT1,5.329
CCL,Carcharhinus limbatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,LL,LL,L,RPT1,3.06
CCL,Carcharhinus limbatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,6.37
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,Longline,LL,LL,L,RPT1,0.03
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,Other surf.,UN,UNCL,DD,RPT1,0.08
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATS,unkn,SW,Other surf.,UN,UNCL,DD,RPT1,0.06
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NWC,Other surf.,UN,UNCL,DD,RPT1,0.33
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATS,unkn,SW,Longline,LL,LL,L,RPT1,3.06
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,GOFM,Longline,LL,LL,DD,RPT1,3.26
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NWC,Longline,LL,LL,DD,RPT1,36.06
BSH,Prionace glauca,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,Longline,LL,LL,DD,RPT1,66.08
CCE,Carcharhinus leucas,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,0.24
CCE,Carcharhinus leucas,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,WTRO,All gears,LL,LL,L,RPT1,0.13
DUS,Carcharhinus obscurus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,UN,UNCL,DD,RPT1,0.03
DUS,Carcharhinus obscurus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,LL,LL,L,RPT1,0.04
DUS,Carcharhinus obscurus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,ATL,All gears,LL,LL,DD,RPT1,0.11
DUS,Carcharhinus obscurus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,0.46
DUS,Carcharhinus obscurus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,LL,LL,DD,RPT1,0.48
SPN,Sphyrna spp,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,UN,UNCL,DD,RPT1,1.36
SPN,Sphyrna spp,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,WTRO,All gears,LL,LL,DD,RPT1,1.94
SPN,Sphyrna spp,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,ATL,All gears,LL,LL,DD,RPT1,2.34
SPN,Sphyrna spp,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,GOFM,All gears,LL,LL,DD,RPT1,3.76
SPN,Sphyrna spp,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,9.39
SPN,Sphyrna spp,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,DD,RPT1,45.77
LMA,Isurus paucus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,0.13
SMA,Isurus oxyrinchus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,Other surf.,HP,HARP,L,RPT1,0.09
SMA,Isurus oxyrinchus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATS,unkn,SW,Longline,LL,LL,L,RPT1,0.12
SMA,Isurus oxyrinchus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,WTRO,Longline,LL,LL,L,RPT1,0.74
SMA,Isurus oxyrinchus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NWC,Longline,LL,LL,L,RPT1,10.3
SMA,Isurus oxyrinchus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,GOFM,Longline,LL,LL,L,RPT1,19.79
SMA,Isurus oxyrinchus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,Longline,LL,LL,L,RPT1,149.67
CCS,Carcharhinus signatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,UN,UNCL,DD,RPT1,0.02
CCS,Carcharhinus signatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,WTRO,All gears,LL,LL,DD,RPT1,0.36
CCS,Carcharhinus signatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,ATL,All gears,LL,LL,DD,RPT1,1.34
CCS,Carcharhinus signatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,L,RPT1,5.24
CCS,Carcharhinus signatus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,NW,All gears,LL,LL,DD,RPT1,23.24
POR,Lamna nasus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,GOFM,All gears,LL,LL,L,RPT1,0.08
POR,Lamna nasus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,All gears,LL,LL,L,RPT1,0.06
POR,Lamna nasus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NWC,All gears,LL,LL,L,RPT1,0.1
POR,Lamna nasus,4-Sharks (major),2001,2000,CP,UNITED STATES,U.S.A.,USA,ATN,unkn,NW,All gears,GN,GILL,L,RPT1,0.66
CCP,Carcharhinus plumbeus,5-Sharks (other),2001,2000,CP,UNITED STATES,U.S.A.,USA,A+M,unkn,WTRO,All gears,LL,LL,L,RPT1,0.06
