years,fireRisk,vote,districtBen,districtSuc,districtSafe,forest,evac,chip,noChip,defense,noDefense,lostHome,ownRent,income,eth,spouseEth,edu
13,3,1,4,3,4,5,1,2,69,1,69,0,0,69,1,1,3
15,4,1,5,5,5,4,1,3,69,1,69,0,0,69,69,69,69
40,5,1,4,4,4,5,1,0,4,1,69,0,0,1,1,1,3
13,5,1,5,4,4,5,1,0,2,0,5,0,0,69,1,69,2
3.8,3,3,4,4,4,3,0,0,5,0,2,0,0,69,69,69,69
13.2,4,1,4,3,4,4,1,2,69,1,69,0,0,2,1,69,4
47.2,4,2,3,4,4,5,1,0,5,1,69,1,0,2,1,69,2
38.9,4,0,2,1,2,1,1,0,3,0,3,0,0,2,1,1,4
40,3,2,3,3,3,3,1,1,69,0,5,0,0,2,5,69,4
13.2,5,1,5,5,5,5,1,2,69,0,69,0,0,3,1,1,4
20.3,5,2,4,4,4,3,1,0,69,0,69,0,0,69,69,69,69
50,4,1,5,5,5,5,1,2,69,1,69,0,0,69,69,69,69
2.3,4,3,4,4,4,5,1,0,4,0,1,0,0,69,5,1,3
27,3,0,2,3,3,4,1,2,69,0,3,0,0,69,69,69,3
9,4,2,3,3,4,4,1,1,69,1,69,0,0,3,1,1,3
11.3,3,2,5,5,5,5,1,0,5,0,1,1,0,2,1,69,2
7.1,3,3,5,4,4,5,1,2,5,0,5,0,0,1,1,69,3
43.8,4,1,5,5,5,3,1,0,5,1,69,0,0,2,1,69,3
38.9,4,1,4,3,4,2,1,0,69,0,69,0,0,3,5,5,4
44.4,4,1,5,5,5,5,1,0,4,0,5,1,0,69,1,69,4
2.1,5,3,5,5,5,3,0,0,5,1,69,0,0,2,1,1,4
12,5,2,5,5,4,3,1,3,69,0,69,0,0,69,69,69,69
34.5,3,0,3,3,4,3,1,2,69,0,5,0,0,1,1,1,3
74.8,69,69,69,69,69,69,69,69,69,69,69,69,1,69,69,69,69
12,4,2,4,4,4,3,1,2,69,0,5,1,0,2,1,1,4
20,5,1,5,5,5,5,1,3,69,0,69,1,0,2,1,1,3
45,4,1,4,4,4,3,1,1,69,0,2,0,0,1,1,1,3
32.1,3,1,5,5,5,5,1,0,2,1,69,0,0,69,69,69,69
50,3,1,5,5,5,4,1,2,69,1,69,0,0,69,1,1,4
2.3,4,3,3,3,3,4,0,0,5,1,69,0,0,69,69,69,69
10.6,5,69,4,4,4,4,1,3,69,0,3,1,0,1,1,69,3
30.3,5,1,4,4,5,3,1,2,69,0,5,0,0,1,1,1,4
15.3,5,1,3,3,3,4,1,0,5,0,5,0,0,3,1,1,4
29.8,5,1,5,4,5,4,1,2,69,1,69,0,0,1,1,1,4
12.8,3,2,3,3,3,2,1,3,69,0,3,0,0,69,69,69,69
74.8,69,69,69,69,69,69,69,69,69,69,69,69,1,69,69,69,69
45,4,1,4,4,4,3,0,2,69,0,3,0,0,69,69,69,69
15,2,1,3,3,2,2,1,0,5,0,5,0,0,3,6,6,3
40,5,1,5,5,5,4,1,0,5,1,69,1,0,1,1,69,3
20,1,2,2,2,2,1,1,0,1,0,1,0,0,1,1,1,4
6.3,3,1,3,3,3,2,1,0,1,0,4,0,0,3,1,1,3
16,5,1,5,5,5,5,1,0,69,1,69,0,0,1,1,69,4
15,4,1,4,4,69,3,1,2,69,1,69,0,0,2,1,1,4
44.9,4,2,4,4,4,3,0,1,69,0,3,0,0,1,1,69,3
20,3,4,4,3,3,3,1,3,69,1,69,0,0,69,69,69,69
18,3,2,4,4,4,4,1,2,69,1,69,0,0,3,1,1,4
14,3,1,4,3,4,5,1,3,69,1,69,0,0,69,69,69,69
44,3,1,5,5,5,5,1,1,69,1,69,0,0,69,1,69,4
14,3,2,5,4,4,4,1,0,5,1,69,0,0,69,1,1,4
8,3,2,4,4,4,3,1,0,5,0,5,0,0,3,1,69,4
10.7,3,2,3,3,3,3,1,0,69,0,4,0,0,1,1,1,4
20.7,4,1,4,4,4,3,1,0,5,0,5,0,0,2,1,1,4
23,2,1,5,5,5,4,1,2,69,1,69,0,0,2,1,1,4
18,5,1,3,3,3,5,1,0,5,0,5,0,0,3,69,69,4
28,3,1,5,5,5,5,0,1,69,0,69,1,0,69,69,69,69
31,5,1,4,4,4,4,1,0,1,0,5,0,0,3,1,1,3
25,4,1,5,5,5,5,1,3,69,0,3,0,0,2,1,69,3
25,5,1,4,4,4,3,1,1,69,0,69,0,0,69,69,69,69
13.6,2,0,2,3,3,4,1,0,4,0,4,0,0,69,69,69,69
35,4,3,3,4,3,3,1,0,69,0,3,0,0,1,1,69,2
21.1,4,1,4,4,4,3,1,1,69,1,69,0,0,1,1,1,4
2,4,0,69,4,4,69,0,2,69,0,5,0,0,2,1,69,3
36.3,4,2,3,3,3,4,1,0,69,0,69,0,0,3,69,69,3
35,5,1,5,4,5,5,1,1,5,1,69,0,0,3,1,1,4
44.9,3,1,5,5,5,5,1,0,4,0,4,0,0,1,1,69,3
8.2,5,3,5,4,4,5,1,2,69,1,69,0,0,3,1,1,4
74.8,69,69,69,2,3,4,1,0,3,0,3,0,0,69,1,1,4
12,3,69,3,3,3,5,0,0,4,69,69,0,0,3,1,1,3
26,3,1,4,4,4,4,1,0,69,0,3,0,0,2,1,69,4
26.8,4,0,3,3,3,4,1,0,3,0,4,0,0,69,1,1,4
15,2,1,4,4,4,3,0,0,4,1,69,0,0,3,1,1,4
41.2,3,1,4,4,4,5,1,1,69,0,69,0,0,2,1,69,2
5,5,1,5,4,4,3,1,0,69,1,69,1,0,3,1,1,3
35,3,2,4,4,4,4,0,0,1,0,1,0,0,2,1,69,3
14.2,4,1,5,5,5,5,1,0,5,1,69,0,0,69,69,69,69
42,4,1,4,4,4,4,1,1,69,0,3,0,0,2,1,1,4
3.1,4,2,3,3,3,3,1,3,69,1,69,0,0,69,69,69,69
18,3,2,3,2,2,2,1,0,4,0,3,0,0,69,69,69,69
4,5,3,5,5,5,3,0,1,69,1,69,0,0,69,69,69,69
35,4,1,4,3,4,1,1,0,5,0,5,0,0,1,1,1,3
5,3,1,4,4,5,3,1,0,1,0,1,0,0,3,1,1,4
15.5,5,2,5,5,5,3,1,3,0,0,5,0,0,3,1,1,4
74.8,4,0,3,3,3,4,1,2,69,1,69,0,0,69,69,69,69
1,3,2,3,3,3,3,1,0,1,0,1,0,0,69,69,69,69
20,5,1,5,5,5,5,1,2,69,0,69,0,0,3,1,1,3
5,4,1,5,5,5,3,1,3,69,0,5,1,0,69,1,1,4
14,5,2,69,4,4,5,1,0,4,0,4,69,0,69,69,69,69
28,4,1,4,4,69,3,1,3,69,1,69,0,0,1,1,69,4
4.3,4,3,4,4,4,3,0,1,69,1,69,0,0,69,69,69,69
57,3,1,3,3,3,3,1,0,69,0,1,0,0,1,1,69,2
26,4,1,5,5,5,5,1,0,4,0,3,0,0,2,1,69,4
30,5,1,3,4,3,5,1,0,5,1,69,0,0,69,69,69,69
20,5,2,4,4,4,3,1,0,69,1,69,0,0,1,1,69,2
44.3,4,0,4,4,4,5,1,0,5,1,69,0,0,1,1,69,3
50,1,1,5,5,5,3,1,2,69,1,69,0,0,69,69,69,69
64,4,0,4,4,4,4,1,1,69,0,3,0,0,1,1,1,3
