Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,3PPercent,2P,2PA,2PPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2008-09,20,CHI,NBA,PG,81,80,3000,9.9,20.8,0.475,0.3,1.2,0.222,9.6,19.5,0.491,3.4,4.3,0.788,1.7,3.8,5.4,8.8,1.1,0.3,3.5,2.1,23.4,108,113
2009-10,21,CHI,NBA,PG,78,78,2871,12.1,24.7,0.489,0.3,1.1,0.267,11.8,23.6,0.5,4.7,6.1,0.766,1.2,4.1,5.3,8.4,1,0.5,3.9,1.7,29.1,106,109
2010-11,22,CHI,NBA,PG,81,81,3026,12.5,28,0.445,2.2,6.8,0.332,10.2,21.3,0.481,8.4,9.7,0.858,1.4,4.4,5.8,10.9,1.5,0.9,4.9,2.4,35.6,113,103
2011-12,23,CHI,NBA,PG,39,39,1375,11.8,27.2,0.435,2.1,6.8,0.312,9.7,20.4,0.475,7.6,9.4,0.812,1,4.1,5.1,12,1.4,1.1,4.7,2,33.4,112,101
2013-14,25,CHI,NBA,PG,10,10,311,9.9,28.1,0.354,2.7,8,0.34,7.2,20,0.359,4.6,5.5,0.844,1.5,3.9,5.5,7.4,0.9,0.2,5.8,2.6,27.2,88,105
2014-15,26,CHI,NBA,PG,51,51,1530,11.4,28.2,0.405,2.6,9.2,0.28,8.9,19.1,0.465,5.1,6.3,0.813,1.2,4.3,5.4,8.5,1.2,0.5,5.4,2.1,30.6,97,108
2015-16,27,CHI,NBA,PG,38,38,1218,9.8,24.2,0.406,0.9,3.6,0.264,8.9,20.6,0.43,3.3,4.1,0.792,0.8,4.1,4.9,7.1,0.9,0.5,4.1,2.3,23.8,93,107
